,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
5715,סופר כוכב הצפון,"מינימרקט (מכלת + מכירת מוצרי מזון קפואים).מכירת גבינות , נקניקים ,  סלטיםארוזים ממקור מאושר,",מזון,בוני העיר 9 ,"מינימרקט (מכלת + מכירת מוצרי מזון קפואים).מכירת גבינות , נקניקים ,  סלטיםארוזים ממקור מאושר,,אטליז-מכירת בשר ועופות שאינם קפואים,מכירת בשר ועוף ודגים קפואים,מכירת פירות וירקות.,","(32.101043, 34.783365)"
5716,מכולת רפאל שמעון,מכולת.,מזון,צרעה 3 ,"מכולת.,","(31.2048558, 29.9329438)"
5718,אגאדיר נחלת בנימין,"מסעדה כולל דגים ( מנוקים מראש ממקור מאושר)ללא אפיה-לרבות צריכת משקאות משכרים במקום-משלוחי מזון ע""י 2 קטנועים.",מזון,נחלת בנימין 2 ,"מסעדה כולל דגים ( מנוקים מראש ממקור מאושר)ללא אפיה-לרבות צריכת משקאות משכרים במקום-משלוחי מזון ע""י 2 קטנועים.,","(32.06949, 34.77021)"
5719,ארקפה בייקרי בזל,"4.2ב - מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,אשתורי הפרחי 7 ,"בית אוכל אחר הכנה והגשה כריכים הגשת תה וקפה אפייית דברי מאפה מבצק מוכן ומוקפא הכנה והגשת מיץ תפוזים, לרבות משקאות משכרים לצריכה במקום.,","(31.7876785, 35.2167782)"
5720,קפה ג'ו,"4.2ב - בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.",מזון,דיזנגוף 64 ,"בית אוכל להכנה והגשת  קפה , מכירת כריכם , סלטים ומוצרים באריזות סגורות , חימום והגשת מאפים מוכנים מיצרן מאושר הגשה בכלים חד פעמיים,","(32.075842, 34.775079)"
5721,טרייבל טאטו,"טיפולים לא רפואיים בגוף -כתובות קעקע-מקום לעשייתן, ניקוב חורים בגוף האדם לצורך ענידת תכשיטים.","בריאות, רוקחות, קוסמטיקה",דיזנגוף 64 ,"טיפולים לא רפואיים בגוף -כתובות קעקע-מקום לעשייתן, ניקוב חורים בגוף האדם לצורך ענידת תכשיטים.,","(32.075842, 34.775079)"
5722,דוקטור לק,הגשה ומכירת גלידה(מוכנה) הגשת ומכירת קרפים שתיה חמה וקרה.,מזון,רוזן פנחס 72 ,"הגשה ומכירת גלידה(מוכנה) הגשת ומכירת קרפים שתיה חמה וקרה.,","(31.2618198, 34.7645571)"
5723,בישולים,מסעדה להכנה בישולים כולל בשר + ירקות טריים ומרקים -לרבות צריכת משקאות משכרים,מזון,קרליבך 23 ,"מסעדה להכנה בישולים כולל בשר + ירקות טריים ומרקים -לרבות צריכת משקאות משכרים,","(32.068359, 34.782898)"
5724,מוסך גלאובך,מוסך למכונאות רכב כללית.,רכב ותחבורה,קור פאול (קורנובסקי) 24 ,"מוסך למכונאות רכב כללית.,","(32.062847, 34.784353)"
5725,ישרוטל טאוור,7.1 א - בית מלון שמספר החדרים קטן מ- 100 .,עינוג ציבורי כללי,בן יהודה 25 ,"מכון כושר ( קומה 29 ),בריכת שחיה ( קומה 30 ),בית מלון 120 חדרים ( מתוכם 2 נכים בקומה 9 חדרים 914,912 ),בית קפה פנימי לארוחות בקר של אורחי המלון בלבד כולל אפיה מבצק מוקפא מיצרן מורשה, לרבות הגשת משקאות משכרים לצריכה במקום. 
,","(32.076441, 34.767906)"
5727,הובלה בקרור,הובלת בשר  בקרור ברכב מס'- 3381072  מסוג  איסוזו,מזון,יום טוב 10 ,"הובלת בשר  בקרור ברכב מס'- 3381072  מסוג  איסוזו,","(32.068174, 34.767711)"
5728,הובלה  בקרור,הובלת בשר  ועופות  בקרור  ומוצריו  מספר הרכב 17285601  מסוג יונדאי .,מזון,יום טוב 10 ,"הובלת בשר  ועופות  בקרור  ומוצריו  מספר הרכב 17285601  מסוג יונדאי .,","(32.068174, 34.767711)"
5729,בר הברזל 36,"4.2ב - בית קפה (ללא בשר וללא דגים) - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפ",מזון,הברזל 34 ,"4.2ב - בית קפה (ללא בשר וללא דגים) - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8,4.8 - משקאות משכרים -פאב, בר, מסבאה וכל עסק שעיקר פעילותו הגשתם לצורך צריכה במקום ההגשה.
,","(32.1103029, 34.8421952)"
5730,מטרו מוטור,מכירת אופנועים.,רכב ותחבורה,בגין מנחם 19 ,"מכירת אופנועים.,","(32.9606, 35.5132328)"
5731,טורקיז,"מסעדה, אפיה מבצק מוכן ומוקפא+ הכנת דגים-לרבות צריכת משקאות משכרים",מזון,"רוזנבלום הרצל ד""ר 8ו","מסעדה, אפיה מבצק מוכן ומוקפא+ הכנת דגים-לרבות צריכת משקאות משכרים,","(None, None)"
5733,רד תקשורת מחשבים,מסעדה פנימית ( חדר אוכל לעובדי החברה )+ שירות עצמי .,מזון,הברזל 31 ,"מסעדה פנימית ( חדר אוכל לעובדי החברה )+ שירות עצמי .,","(32.110287, 34.841116)"
5735,דלי קרים,"מכירת גלידות, משקאות קלים (ללא ישיבה במקום).",מזון,נחלת בנימין 9 ,"מכירת גלידות, משקאות קלים (ללא ישיבה במקום).,","(32.06847, 34.770151)"
5736, ,"בית אוכל אחר להכנת שניצלים וקציצות מעוף, הכנת תוספות תפוח אדמה, אורז, קטניות, פלאפל והכנת סלטים.",מזון,בית אל 12 ,"בית אוכל אחר להכנת שניצלים וקציצות מעוף, הכנת תוספות תפוח אדמה, אורז, קטניות, פלאפל והכנת סלטים.,","(32.118275, 34.839634)"
5737,פסק זמן,מזנון.,מזון,השלושה 9 ,"מזנון.,","(32.062194, 34.790424)"
5738,מקסיקנה,מסעדה- לרבות צריכת משקאות משכרים במקום ( מחסן חיצוני 15407 ),מזון,בן יהודה 41 ,"מסעדה- לרבות צריכת משקאות משכרים במקום ( מחסן חיצוני 15407 ),","(32.077823, 34.768349)"
5739,אי בי סי ניהול חניונים בע,"8.6 ז - חניון מקורה או תת קרקעי, ששטחו מעל 500 מ""ר שהוא בתשלום או  פתוח לקהל הרחב, למעט חניון המשמש את עובדי או דיירי הבניין בלבד.",רכב ותחבורה,השלושה 2 ,"חניון בנוי ששטחו 45236  ל-1036 כלי רכב  (מהם 30 לנכים).,","(32.0617382, 34.7882304)"
5740,מרכז עינב,מקום לעריכת מופעים  -  תפוסת קהל מירבית 635 איש,עינוג ציבורי כללי,אבן גבירול 71 ,"מקום לעריכת מופעים  -  תפוסת קהל מירבית 635 איש,תיאטרון קולנוע והופעת אומנים.,מזנון מצומצם [הגשת תה וקפה בכוסות חד פעמי].,","(32.0828915, 34.7804615)"
5741,צ'יבורק,מסעדה.לרבות הגשת משקאות משכרים לצריכה במקום.,מזון,המסגר 45 ,"מסעדה.לרבות הגשת משקאות משכרים לצריכה במקום.,","(32.066653, 34.786573)"
5743,חניון בית פסגות,"חניון בנוי תת קרקעי ששטחו 8540 מ""ר ל-324 כלי רכב.(מהם 16 לנכים )",רכב ותחבורה,התלמי יהושע 9 ,"חניון בנוי תת קרקעי ששטחו 8540 מ""ר ל-324 כלי רכב.(מהם 16 לנכים ),","(32.062965, 34.768769)"
5744,חניון רובע לב העיר,"8.6 ז - חניון מקורה או תת קרקעי, ששטחו מעל 500 מ""ר שהוא בתשלום או  פתוח לקהל הרחב, למעט חניון המשמש את עובדי או דיירי הבניין בלבד.",רכב ותחבורה,בלפור 8 ,"חניון בנוי תת קרקעי ששטחו 21,300 מ""ר ל-603 כלי רכב.(מהם 13 לנכים ).,","(31.7730487, 35.2169574)"
5745,פלאפל ג'ינה,בית אוכל הכנת פלאפל ושניצלים .,מזון,התחיה 15 ,"בית אוכל הכנת פלאפל ושניצלים .,אפיית פיתות כולל הכנת בצק (לצורכי הכנת מנות בלבד ללא מכירה כפיתות).,","(32.049783, 34.764577)"
5746,חניון הצפירה 2*,"חניון במגרש ששטחו 2478 מ""ר ל-100 כלי רכב.(מהם 5 לנכים )",רכב ותחבורה,הצפירה 2 ,"חניון במגרש ששטחו 2478 מ""ר ל-100 כלי רכב.(מהם 5 לנכים ),","(31.7636621, 35.2192114)"
5747,חניון קרדן,"חניון בנוי ששטחו 8847 מ""ר ל-326  כלי רכב (מהם 9 לנכים).",רכב ותחבורה,בגין מנחם 154 ,"חניון בנוי ששטחו 8847 מ""ר ל-326  כלי רכב (מהם 9 לנכים).,","(32.9606, 35.5132328)"
5748,שופרסל,"סופרמרקט - מכלת, מכירת מזון קפוא,בשר ודגים קפואים.",מזון,בגין מנחם 132 ,"סופרמרקט - מכלת, מכירת מזון קפוא,בשר ודגים קפואים.,חנות ששטחה הכולל 500 מ""ר לפחות.,מכירת בשר בקר, בשר עוף, ודגים שאינו קפוא.,מכירת מזון מוכן חם וקר ממקור מאושר.,מכירת פירות וירקות.,אפיית דברי מאפה מבצק מוכן ומוקפא לצרכי מכירה במקום.,הכנה ומכירת עוף בגריל.,מזנון- הכנה ומכירת מיצים טבעיים, תה וקפה. הכנה ומכירה של כריכים וסלטים מוכנים(ממקור מאושר בחוק),מכירת מזון לבעלי חיים.,","(32.9606, 35.5132328)"
5749,ג'וסמי,מקום אחר למכירת מזון באריזות סגורות משקאות משכרים שלא לצריכה +מיצים,מזון,ארלוזורוב 188 ,"מקום אחר למכירת מזון באריזות סגורות משקאות משכרים שלא לצריכה +מיצים,","(32.082858, 34.791896)"
5750,לוחי פלסט,אחסון ושיווק לוחות פלסטיק.,מסחר ושונות,ניצנה 3 ,"אחסון ושיווק לוחות פלסטיק.,","(32.057537, 34.761545)"
5754,ורד תורג'מן,מספרה.,"בריאות, רוקחות, קוסמטיקה",טשרניחובסקי 2 ,"מספרה.,פדיקור ומניקור.,","(32.070831, 34.770331)"
5755,דרגסטור אבן גבירול,סופרמרקט+מכירת מצרכי מזון קפואים.,מזון,אבן גבירול 193 ,"סופרמרקט+מכירת מצרכי מזון קפואים.,מכירת פירות וירקות.,","(32.094591, 34.783351)"
5757,קיוסק עדן,"קיוסק ,מכירת פיצוחים ומשקאות קלים",מזון,דיזנגוף 183 ,"קיוסק ,מכירת פיצוחים ומשקאות קלים,הכנת ומכירת  מיצים טבעיים ללא ישיבה במקום.,","(32.085708, 34.774455)"
5758,קיר טיפוס,מתקני שעשועים - קיר טיפוס אולימפי במתחם הספורטק.,עינוג ציבורי כללי,רוקח ישראל 46 ,"מתקני שעשועים - קיר טיפוס אולימפי במתחם הספורטק.,","(31.7900128, 35.2243077)"
5759,אולם ספורט טולוז,אולם ספורט (פחות מ- 500 מקומות ישיבה),עינוג ציבורי כללי,טולוז 2 ,"אולם ספורט (פחות מ- 500 מקומות ישיבה),","(43.6130433, 1.411755241742998)"
5760,חניון מגדל הפלטינום,"חניון בנוי ששטחו 2318 מ""ר ל-85 כלי רכב (מפלס 2- בלבד, שאר המפלסים למנוים בלבד).",רכב ותחבורה,אלעזר דוד 34 ,"חניון בנוי ששטחו 2318 מ""ר ל-85 כלי רכב (מפלס 2- בלבד, שאר המפלסים למנוים בלבד).,","(31.8706111, 34.7488699)"
